
Textbox3,Textbox1,TOWARY_I_USŁUGI_KONSUMPCYJNE,KOD_WOJ,ROK_KW_NARAST1,WARTOSC_OST_blok6
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2019 I-XII,"102,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2020 I-III,"103,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,LUBUSKIE,2020 I-VI,"103,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2019 I-VI,"102,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2019 I-IX,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2019 I-XII,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2020 I-III,"104,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŁÓDZKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2019 I-III,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2019 I-VI,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2019 I-IX,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2019 I-XII,"102,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2020 I-III,"105,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAŁOPOLSKIE,2020 I-VI,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2019 I-III,"101,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2019 I-VI,"101,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2019 I-IX,"102,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2019 I-XII,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2020 I-III,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,MAZOWIECKIE,2020 I-VI,"103,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2019 I-VI,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2020 I-III,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,OPOLSKIE,2020 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2019 I-III,"101,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2019 I-VI,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2019 I-IX,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2020 I-III,"104,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODKARPACKIE,2020 I-VI,"103,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2019 I-III,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2019 I-VI,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2019 I-XII,"102,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2020 I-III,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,PODLASKIE,2020 I-VI,"103,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2019 I-VI,"101,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2019 I-IX,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2019 I-XII,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2020 I-III,"104,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,POMORSKIE,2020 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2019 I-III,"100,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2019 I-VI,"101,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2019 I-IX,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2019 I-XII,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2020 I-III,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚLĄSKIE,2020 I-VI,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2019 I-III,"101,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2019 I-VI,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2019 I-IX,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2019 I-XII,"102,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2020 I-III,"105,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ŚWIĘTOKRZYSKIE,2020 I-VI,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2019 I-III,"101,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2019 I-VI,"102,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2019 I-IX,"102,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2019 I-XII,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2020 I-III,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WARMIŃSKO-MAZURSKIE,2020 I-VI,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2019 I-VI,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2019 I-IX,"102,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2019 I-XII,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2020 I-III,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,WIELKOPOLSKIE,2020 I-VI,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2019 I-III,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2019 I-VI,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2019 I-IX,"102,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2019 I-XII,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2020 I-III,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,O G Ó Ł E M  ,ZACHODNIOPOMORSKIE,2020 I-VI,"104,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2019 I-III,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2019 I-VI,"103,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2019 I-IX,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2019 I-XII,"104,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2020 I-III,"107,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POLSKA,2020 I-VI,"107,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2019 I-III,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2019 I-VI,"103,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2019 I-IX,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2019 I-XII,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2020 I-III,"107,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,DOLNOŚLĄSKIE,2020 I-VI,"106,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2019 I-III,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2019 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2019 I-IX,"104,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2019 I-XII,"105,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2020 I-III,"108,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,KUJAWSKO-POMORSKIE,2020 I-VI,"107,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2019 I-III,"101,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2019 I-VI,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2019 I-IX,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2019 I-XII,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2020 I-III,"108,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBELSKIE,2020 I-VI,"107,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2019 I-III,"102,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2019 I-VI,"103,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2019 I-IX,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2019 I-XII,"105,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2020 I-III,"106,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,LUBUSKIE,2020 I-VI,"106,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2019 I-III,"101,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2019 I-VI,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2019 I-IX,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2019 I-XII,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2020 I-III,"108,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŁÓDZKIE,2020 I-VI,"107,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2019 I-III,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2019 I-VI,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2019 I-IX,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2019 I-XII,"104,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2020 I-III,"107,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAŁOPOLSKIE,2020 I-VI,"107,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2019 I-III,"101,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2019 I-VI,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2019 I-IX,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2019 I-XII,"105,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2020 I-III,"108,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,MAZOWIECKIE,2020 I-VI,"107,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2019 I-III,"102,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2019 I-VI,"103,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2019 I-IX,"104,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2019 I-XII,"105,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2020 I-III,"107,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,OPOLSKIE,2020 I-VI,"106,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2019 I-III,"101,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2019 I-VI,"103,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2019 I-IX,"104,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2019 I-XII,"104,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2020 I-III,"107,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODKARPACKIE,2020 I-VI,"106,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2019 I-III,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2019 I-VI,"103,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2019 I-IX,"104,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2019 I-XII,"105,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2020 I-III,"108,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,PODLASKIE,2020 I-VI,"107,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2019 I-III,"102,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2019 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2019 I-IX,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2019 I-XII,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2020 I-III,"106,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,POMORSKIE,2020 I-VI,"106,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2019 I-III,"100,9"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2019 I-VI,"102,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2019 I-IX,"103,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2019 I-XII,"104,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2020 I-III,"107,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚLĄSKIE,2020 I-VI,"107,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2019 I-III,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2019 I-VI,"103,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2019 I-IX,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2019 I-XII,"105,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2020 I-III,"109,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ŚWIĘTOKRZYSKIE,2020 I-VI,"107,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2019 I-III,"101,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2019 I-VI,"103,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2019 I-IX,"104,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2019 I-XII,"105,3"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2020 I-III,"108,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WARMIŃSKO-MAZURSKIE,2020 I-VI,"107,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2019 I-III,"102,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2019 I-VI,"103,6"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2019 I-IX,"104,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2019 I-XII,"105,1"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2020 I-III,"107,7"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,WIELKOPOLSKIE,2020 I-VI,"107,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2019 I-III,"102,4"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2019 I-VI,"103,8"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2019 I-IX,"105,0"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2019 I-XII,"105,5"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2020 I-III,"107,2"
Towary i usługi konsumpcyjne,Jednostka terytorialna,Żywność i napoje bezalkoholowe,ZACHODNIOPOMORSKIE,2020 I-VI,"106,3"
